Date,BOC_Rate,ID
1/1/2000,4.75,1
2/1/2000,4.98,2
3/1/2000,5.09,3
4/1/2000,5.25,4
5/1/2000,5.49,5
6/1/2000,5.75,6
7/1/2000,5.75,7
8/1/2000,5.75,8
9/1/2000,5.75,9
10/1/2000,5.75,10
11/1/2000,5.75,11
12/1/2000,5.75,12
1/1/2001,5.67,13
2/1/2001,5.5,14
3/1/2001,5.07,15
4/1/2001,4.88,16
5/1/2001,4.72,17
6/1/2001,4.5,18
7/1/2001,4.38,19
8/1/2001,4.21,20
9/1/2001,3.75,21
10/1/2001,3.27,22
11/1/2001,2.66,23
12/1/2001,2.25,24
1/1/2002,2.11,25
2/1/2002,2,26
3/1/2002,2,27
4/1/2002,2.13,28
5/1/2002,2.25,29
6/1/2002,2.49,30
7/1/2002,2.63,31
8/1/2002,2.75,32
9/1/2002,2.75,33
10/1/2002,2.75,34
11/1/2002,2.75,35
12/1/2002,2.75,36
1/1/2003,2.75,37
2/1/2003,2.75,38
3/1/2003,2.99,39
4/1/2003,3.14,40
5/1/2003,3.25,41
6/1/2003,3.25,42
7/1/2003,3.11,43
8/1/2003,3,44
9/1/2003,2.77,45
10/1/2003,2.75,46
11/1/2003,2.75,47
12/1/2003,2.75,48
1/1/2004,2.65,49
2/1/2004,2.5,50
3/1/2004,2.26,51
4/1/2004,2.09,52
5/1/2004,2,53
6/1/2004,2,54
7/1/2004,2,55
8/1/2004,2,56
9/1/2004,2.19,57
10/1/2004,2.36,58
11/1/2004,2.5,59
12/1/2004,2.5,60
1/1/2005,2.5,61
2/1/2005,2.5,62
3/1/2005,2.5,63
4/1/2005,2.5,64
5/1/2005,2.5,65
6/1/2005,2.5,66
7/1/2005,2.5,67
8/1/2005,2.5,68
9/1/2005,2.7,69
10/1/2005,2.87,70
11/1/2005,3,71
12/1/2005,3.22,72
1/1/2006,3.32,73
2/1/2006,3.5,74
3/1/2006,3.71,75
4/1/2006,3.8,76
5/1/2006,4.07,77
6/1/2006,4.25,78
7/1/2006,4.25,79
8/1/2006,4.25,80
9/1/2006,4.25,81
10/1/2006,4.25,82
11/1/2006,4.25,83
12/1/2006,4.25,84
1/1/2007,4.25,85
2/1/2007,4.25,86
3/1/2007,4.25,87
4/1/2007,4.25,88
5/1/2007,4.25,89
6/1/2007,4.25,90
7/1/2007,4.43,91
8/1/2007,4.5,92
9/1/2007,4.5,93
10/1/2007,4.5,94
11/1/2007,4.5,95
12/1/2007,4.26,96
1/1/2008,4.16,97
2/1/2008,4,98
3/1/2008,3.52,99
4/1/2008,3.34,100
5/1/2008,3,101
6/1/2008,3,102
7/1/2008,3,103
8/1/2008,3,104
9/1/2008,3,105
10/1/2008,2.51,106
11/1/2008,2.25,107
12/1/2008,1.7,108
1/1/2009,1.3,109
2/1/2009,1,110
3/1/2009,0.52,111
4/1/2009,0.41,112
5/1/2009,0.25,113
6/1/2009,0.25,114
7/1/2009,0.25,115
8/1/2009,0.25,116
9/1/2009,0.25,117
10/1/2009,0.25,118
11/1/2009,0.25,119
12/1/2009,0.25,120
1/1/2010,0.25,121
2/1/2010,0.25,122
3/1/2010,0.25,123
4/1/2010,0.25,124
5/1/2010,0.25,125
6/1/2010,0.5,126
7/1/2010,0.6,127
8/1/2010,0.75,128
9/1/2010,0.94,129
10/1/2010,1,130
11/1/2010,1,131
12/1/2010,1,132
1/1/2011,1,133
2/1/2011,1,134
3/1/2011,1,135
4/1/2011,1,136
5/1/2011,1,137
6/1/2011,1,138
7/1/2011,1,139
8/1/2011,1,140
9/1/2011,1,141
10/1/2011,1,142
11/1/2011,1,143
12/1/2011,1,144
1/1/2012,1,145
2/1/2012,1,146
